Portfolio Name,Portfolio Type,Portfolio Beds,"# of Signed Renewals, Current Term","# of Signed New Leases, Current Term","# of Signed Leases, Current Term",Portfolio Pre-Lease Current Term,"# of Renewals, Last Term - YTD","# of New Leases, Last Term - YTD","# of Signed Leases, Last Term - YTD",Portfolio Pre-Lease Prior Term,Portfolio Pre-Lease vs Prior Term,Current Term - Portfolio Goals,Portfolio Goal Pre-Lease,Portfolio Pre-Lease vs Goal,Formatted Output - Report Name,"# of Leases Signed, Previous 7 Days","# of New Leases Signed, Previous 7 Days","# of Renewals Signed, Previous 7 Days",Weekly PreLease Gain,Weekly Leases Needed to Achieve 90% at Week 52,Weekly Leases Needed to Achieve 95% at Week 52,Weekly Leases Needed to Achieve 100% at Week 52,"# of Model Bed Leases, Current Term",Total Occupied Beds,Current Occupancy,Sort Order,Create XL Sheet (stream back),Create XL Sheet,Generate Roll Up,XL Document,XL Doc Date,Leases Signed vs Prior Term,Beds Remaining,Date,Current Week Number,Leasing Season Week Ending Date,Leasing Season Ending Week Number,Weeks Remaining,# of Properties
All GMH Properties,Property Type,6882,2967,4125,7092,103.0514385353%,2063,4069,6132,89.102005231037%,"<div style=""background-color:lightgreen;""> 13.9% </div>",6533,94.92879976751%,"<div style=""background-color:lightgreen;""> 8.1% </div>",Dashboard Output ,90,43,47,1.3077593722755%,13,32,64,39,6405,93.06887532694%,1,"<a class='Vibrant Success OpenAsPopup' data-height=1000 data-width=1000 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=1&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken="" >Create XL Sheet (stream back)</a>","<a class='Vibrant Success OpenAsPopup' data-height=350 data-width=500 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_LP.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=1&faid=44&xlddte=45&docfmt=xlsx&apptoken="" >Create XL Sheet</a>",https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=All GMH Properties - Roll Up - 08-01-2024&dbid=bq5hz7i5x&msid=1&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken=,All GMH Properties - Roll Up - 06-05-2024_1.xlsx,06-05-2024 02:09 PM,960,-210,08-01-2024,48,08-01-2024,48,0,19
AGC,Equity Partner,2194,974,1419,2393,109.07019143118%,732,1531,2263,103.1449407475%,"<div style=""background-color:lightgreen;""> 5.9% </div>",2228,101.54968094804%,"<div style=""background-color:lightgreen;""> 7.5% </div>",Dashboard Output ,16,10,6,0.72926162260711%,5,12,18,12,2061,93.938012762078%,2,"<a class='Vibrant Success OpenAsPopup' data-height=1000 data-width=1000 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=3&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken="" >Create XL Sheet (stream back)</a>","<a class='Vibrant Success OpenAsPopup' data-height=350 data-width=500 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_LP.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=3&faid=44&xlddte=45&docfmt=xlsx&apptoken="" >Create XL Sheet</a>",https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=AGC - Roll Up - 08-01-2024&dbid=bq5hz7i5x&msid=3&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken=,AGC - Roll Up - 07-01-2024_3.xlsx,07-01-2024 09:27 AM,130,-199,08-01-2024,48,08-01-2024,48,0,10
Principal,Equity Partner,1807,770,1098,1868,103.37576092972%,661,1094,1755,97.122302158273%,"<div style=""background-color:lightgreen;""> 6.3% </div>",1681,93.027116768124%,"<div style=""background-color:lightgreen;""> 10.3% </div>",Dashboard Output ,2,2,0,0.11068068622025%,0,0,0,11,1824,100.94078583287%,3,"<a class='Vibrant Success OpenAsPopup' data-height=1000 data-width=1000 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=5&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken="" >Create XL Sheet (stream back)</a>","<a class='Vibrant Success OpenAsPopup' data-height=350 data-width=500 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_LP.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=5&faid=44&xlddte=45&docfmt=xlsx&apptoken="" >Create XL Sheet</a>",https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=Principal - Roll Up - 08-01-2024&dbid=bq5hz7i5x&msid=5&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken=,Principal - Roll Up - 06-24-2024_5.xlsx,06-24-2024 03:50 PM,113,-61,08-01-2024,48,08-01-2024,48,0,4
CBRE,Equity Partner,1374,628,848,1476,107.42358078603%,528,757,1285,93.522561863173%,"<div style=""background-color:lightgreen;""> 13.9% </div>",1265,92.066957787482%,"<div style=""background-color:lightgreen;""> 15.4% </div>",Dashboard Output ,18,14,4,1.3100436681223%,0,1,8,10,1310,95.342066957787%,4,"<a class='Vibrant Success OpenAsPopup' data-height=1000 data-width=1000 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=6&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken="" >Create XL Sheet (stream back)</a>","<a class='Vibrant Success OpenAsPopup' data-height=350 data-width=500 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_LP.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=6&faid=44&xlddte=45&docfmt=xlsx&apptoken="" >Create XL Sheet</a>",https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=CBRE - Roll Up - 08-01-2024&dbid=bq5hz7i5x&msid=6&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken=,CBRE - Roll Up - 02-14-2024_6.xlsx,02-14-2024 08:47 AM,191,-102,08-01-2024,48,08-01-2024,48,0,2
