Property Name
The Venue at North Campus
Life Tower
The Dean Reno
Torre
Campustown 1008 S. 4th
1047 Commonwealth Avenue
Campustown 307 E. Daniel
Campustown 501 S. 6th
Campustown 908 S. 1st
Academy 65
Academy Lincoln
Shortbread Lofts
SOVA
The Academy at Frisco
The Academy Chorro
The Academy on Charles
The Academy Palomar
The Rise at Northgate
The Dean Campustown
