Refresh key: Property,Refresh key: Unit Type,Unit Type,Related Floorplan,Floorplan Name,Property / FP / SO,Case Builder,xSystem - Case Builder,Floorplan Name2,"Floorplan - # of Signed Leases, Current Term",Refresh key: Space Option ( Actual ),Pre-Leased - Total,Occupied (Current),Pre-Leased - New Lease,Pre-Leased - Renewal,Pre-Leased - %,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By,Refresh key
The Rise at Northgate,E2,E2,237,E2 Penthouse,The Rise at Northgate - E2 - Penthouse Private Bathroom,,"""The Rise at Northgate - E2 - Penthouse Private Bathroom"", ""237"",",E2 Penthouse,32,Penthouse Private Bathroom,24,24,12,12,0.8000,01-21-2022 05:59 PM,02-04-2023 02:53 AM,280,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_E2_Penthouse Private Bathroom
Shortbread Lofts,D2,D2,381,D2 (Not Selected),Shortbread Lofts - D2 - Not Selected,,"""Shortbread Lofts - D2 - Not Selected"", ""381"",",D2 (Not Selected),,Not Selected,0,4,0,0,0.0000,10-24-2022 11:05 AM,01-31-2023 05:53 AM,326,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_D2_Not Selected
The Rise at Northgate,D1,D1,232,D1 Aerial,The Rise at Northgate - D1 - Aerial Balcony Standard Bedroom,,"""The Rise at Northgate - D1 - Aerial Balcony Standard Bedroom"", ""232"",",D1 Aerial,73,Aerial Balcony Standard Bedroom,18,18,12,6,0.0714,01-21-2022 05:59 PM,01-28-2023 04:53 AM,259,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D1_Aerial Balcony Standard Bedroom
The Rise at Northgate,D1,D1,231,D1,The Rise at Northgate - D1 - Private Bathroom,,"""The Rise at Northgate - D1 - Private Bathroom"", ""231"",",D1,182,Private Bathroom,48,47,17,31,0.1905,01-21-2022 05:59 PM,01-28-2023 04:53 AM,266,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D1_Private Bathroom
The Rise at Northgate,D1,D1,232,D1 Aerial,The Rise at Northgate - D1 - Aerial Private Bathroom,,"""The Rise at Northgate - D1 - Aerial Private Bathroom"", ""232"",",D1 Aerial,73,Aerial Private Bathroom,18,18,8,10,0.0714,01-21-2022 05:59 PM,01-19-2023 06:53 AM,260,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D1_Aerial Private Bathroom
The Rise at Northgate,D3,D3,234,D3,The Rise at Northgate - D3 - Standard Bedroom,,"""The Rise at Northgate - D3 - Standard Bedroom"", ""234"",",D3,30,Standard Bedroom,14,14,6,8,0.3500,01-21-2022 05:59 PM,01-12-2023 01:04 AM,275,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D3_Standard Bedroom
Shortbread Lofts,C4,C4,213,C4 (Shared),Shortbread Lofts - C4 - Shared Window,,"""Shortbread Lofts - C4 - Shared Window"", ""213"",",C4 (Shared),18,Shared Window,10,10,10,0,0.4167,01-21-2022 05:59 PM,01-10-2023 04:04 AM,213,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C4_Shared Window
The Rise at Northgate,B1,B1,225,B1,The Rise at Northgate - B1 - Private Bathroom,,"""The Rise at Northgate - B1 - Private Bathroom"", ""225"",",B1,28,Private Bathroom,28,28,2,26,0.6667,01-21-2022 05:59 PM,01-10-2023 04:04 AM,247,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_B1_Private Bathroom
The Rise at Northgate,E1,E1,236,E1 Penthouse,The Rise at Northgate - E1 - Penthouse Private Bathroom,,"""The Rise at Northgate - E1 - Penthouse Private Bathroom"", ""236"",",E1 Penthouse,16,Penthouse Private Bathroom,12,12,4,8,0.8000,01-21-2022 05:59 PM,01-10-2023 04:04 AM,277,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_E1_Penthouse Private Bathroom
Shortbread Lofts,B2,B2,203,B2 (Private),Shortbread Lofts - B2 - Private Window,,"""Shortbread Lofts - B2 - Private Window"", ""203"",",B2 (Private),10,Private Window,3,3,2,1,0.2500,01-21-2022 05:59 PM,01-04-2023 01:32 PM,184,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_B2_Private Window
