Refresh key: Property,Refresh key: Unit Type,Unit Type,Related Floorplan,Floorplan Name,Property / FP / SO,Case Builder,xSystem - Case Builder,Floorplan Name2,"Floorplan - # of Signed Leases, Current Term",Refresh key: Space Option ( Actual ),Pre-Leased - Total,Occupied (Current),Pre-Leased - New Lease,Pre-Leased - Renewal,Pre-Leased - %,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By,Refresh key
The Rise at Northgate,D2,D2,233,D2,The Rise at Northgate - D2 - Penthouse Private Bathroom,,"""The Rise at Northgate - D2 - Penthouse Private Bathroom"", ""233"",",D2,4,Penthouse Private Bathroom,2,2,0,2,0.5000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,269,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D2_Penthouse Private Bathroom
The Rise at Northgate,D3,D3,235,D3 Aerial,The Rise at Northgate - D3 - Aerial Private Bathroom,,"""The Rise at Northgate - D3 - Aerial Private Bathroom"", ""235"",",D3 Aerial,13,Aerial Private Bathroom,6,6,4,2,0.1500,01-21-2022 05:59 PM,01-03-2023 04:49 PM,272,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D3_Aerial Private Bathroom
The Rise at Northgate,D3,D3,235,D3 Aerial,The Rise at Northgate - D3 - Aerial Standard Bedroom,,"""The Rise at Northgate - D3 - Aerial Standard Bedroom"", ""235"",",D3 Aerial,13,Aerial Standard Bedroom,6,6,4,2,0.1500,01-21-2022 05:59 PM,01-03-2023 04:49 PM,273,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D3_Aerial Standard Bedroom
The Rise at Northgate,D3,D3,234,D3,The Rise at Northgate - D3 - Private Bathroom,,"""The Rise at Northgate - D3 - Private Bathroom"", ""234"",",D3,30,Private Bathroom,14,14,3,11,0.3500,01-21-2022 05:59 PM,01-03-2023 04:49 PM,274,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D3_Private Bathroom
The Rise at Northgate,E1,E1,236,E1 Penthouse,The Rise at Northgate - E1 - Penthouse Standard Bedroom,,"""The Rise at Northgate - E1 - Penthouse Standard Bedroom"", ""236"",",E1 Penthouse,16,Penthouse Standard Bedroom,3,3,2,1,0.2000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,278,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_E1_Penthouse Standard Bedroom
The Rise at Northgate,E2,E2,237,E2 Penthouse,The Rise at Northgate - E2 - Penthouse Standard Bedroom,,"""The Rise at Northgate - E2 - Penthouse Standard Bedroom"", ""237"",",E2 Penthouse,32,Penthouse Standard Bedroom,6,6,2,4,0.2000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,281,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_E2_Penthouse Standard Bedroom
The Rise at Northgate,Not Selected,Not Selected,371,Not Selected,The Rise at Northgate - Not Selected - Private,,"""The Rise at Northgate - Not Selected - Private"", ""371"",",Not Selected,,Private,0,0,0,0,0.0000,01-21-2022 05:59 PM,10-24-2022 11:20 AM,293,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,The Rise at Northgate_Not Selected_Private
Shortbread Lofts,Not Selected,Not Selected,382,Not Selected,Shortbread Lofts - Not Selected - Private,,"""Shortbread Lofts - Not Selected - Private"", ""382"",",Not Selected,,Private,0,0,0,0,0.0000,01-21-2022 05:59 PM,10-24-2022 11:16 AM,233,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,Shortbread Lofts_Not Selected_Private
Shortbread Lofts,D2,D2,216,D2 (Private),Shortbread Lofts - D2 - Private,,"""Shortbread Lofts - D2 - Private"", ""216"",",D2 (Private),9,Private,0,0,0,0,0.0000,10-24-2022 11:05 AM,10-24-2022 11:06 AM,324,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,Shortbread Lofts_D2_Private
Shortbread Lofts,D2,D2,216,D2 (Private),Shortbread Lofts - D2 - Private No Window,,"""Shortbread Lofts - D2 - Private No Window"", ""216"",",D2 (Private),9,Private No Window,0,0,0,0,0.0000,10-24-2022 11:05 AM,10-24-2022 11:06 AM,325,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,Shortbread Lofts_D2_Private No Window
The Rise at Northgate,A1,A1,222,A1 Aerial,The Rise at Northgate - A1 - Aerial Private Bathroom,,"""The Rise at Northgate - A1 - Aerial Private Bathroom"", ""222"",",A1 Aerial,12,Aerial Private Bathroom,1,1,0,1,0.0278,01-21-2022 05:59 PM,10-24-2022 11:05 AM,235,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_A1_Aerial Private Bathroom
The Rise at Northgate,B1,B1,227,B1 Penthouse,The Rise at Northgate - B1 - Penthouse Private Bathroom,,"""The Rise at Northgate - B1 - Penthouse Private Bathroom"", ""227"",",B1 Penthouse,2,Penthouse Private Bathroom,2,2,0,2,0.0476,01-21-2022 05:59 PM,10-24-2022 11:05 AM,245,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_B1_Penthouse Private Bathroom
The Rise at Northgate,B3,B3,229,B3 Penthouse,The Rise at Northgate - B3 - Penthouse Private Bathroom,,"""The Rise at Northgate - B3 - Penthouse Private Bathroom"", ""229"",",B3 Penthouse,2,Penthouse Private Bathroom,1,1,0,1,0.5000,01-21-2022 05:59 PM,10-24-2022 11:05 AM,252,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_B3_Penthouse Private Bathroom
The Rise at Northgate,B3,B3,229,B3 Penthouse,The Rise at Northgate - B3 - Penthouse Standard Bedroom,,"""The Rise at Northgate - B3 - Penthouse Standard Bedroom"", ""229"",",B3 Penthouse,2,Penthouse Standard Bedroom,1,1,0,1,0.5000,01-21-2022 05:59 PM,10-24-2022 11:05 AM,253,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_B3_Penthouse Standard Bedroom
The Rise at Northgate,C1,C1,230,C1 Penthouse,The Rise at Northgate - C1 - Penthouse Private Bathroom,,"""The Rise at Northgate - C1 - Penthouse Private Bathroom"", ""230"",",C1 Penthouse,3,Penthouse Private Bathroom,1,1,0,1,0.3333,01-21-2022 05:59 PM,10-24-2022 11:05 AM,255,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_C1_Penthouse Private Bathroom
The Rise at Northgate,C1,C1,230,C1 Penthouse,The Rise at Northgate - C1 - Penthouse Standard Bedroom,,"""The Rise at Northgate - C1 - Penthouse Standard Bedroom"", ""230"",",C1 Penthouse,3,Penthouse Standard Bedroom,2,2,0,2,0.6667,01-21-2022 05:59 PM,10-24-2022 11:05 AM,256,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_C1_Penthouse Standard Bedroom
The Rise at Northgate,F1,F1,239,F1 Penthouse,The Rise at Northgate - F1 - Penthouse Private Bathroom,,"""The Rise at Northgate - F1 - Penthouse Private Bathroom"", ""239"",",F1 Penthouse,6,Penthouse Private Bathroom,4,4,0,4,0.6667,01-21-2022 05:59 PM,10-24-2022 11:05 AM,288,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_F1_Penthouse Private Bathroom
The Rise at Northgate,F1,F1,239,F1 Penthouse,The Rise at Northgate - F1 - Penthouse Standard Bedroom,,"""The Rise at Northgate - F1 - Penthouse Standard Bedroom"", ""239"",",F1 Penthouse,6,Penthouse Standard Bedroom,2,2,0,2,0.3333,01-21-2022 05:59 PM,10-24-2022 11:05 AM,289,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_F1_Penthouse Standard Bedroom
The Rise at Northgate,B2,B2,228,B2 Penthouse,The Rise at Northgate - B2 - Penthouse Private Bathroom,,"""The Rise at Northgate - B2 - Penthouse Private Bathroom"", ""228"",",B2 Penthouse,4,Penthouse Private Bathroom,2,2,0,2,0.5000,01-21-2022 05:59 PM,09-15-2022 11:40 AM,249,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_B2_Penthouse Private Bathroom
Shortbread Lofts,C3,C3,210,C3 (Private),Shortbread Lofts - C3 - Private Window,,"""Shortbread Lofts - C3 - Private Window"", ""210"",",C3 (Private),10,Private Window,0,0,0,0,0.0000,01-21-2022 05:59 PM,06-29-2022 11:10 AM,204,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C3_Private Window
Shortbread Lofts,D2,D2,216,D2 (Private),Shortbread Lofts - D2 - Private Window,,"""Shortbread Lofts - D2 - Private Window"", ""216"",",D2 (Private),9,Private Window,0,0,0,0,0.0000,01-21-2022 05:59 PM,06-29-2022 11:10 AM,228,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_D2_Private Window
Shortbread Lofts,D2,D2,217,D2 (Shared),Shortbread Lofts - D2 - Shared No Window,,"""Shortbread Lofts - D2 - Shared No Window"", ""217"",",D2 (Shared),2,Shared No Window,0,0,0,0,0.0000,01-21-2022 05:59 PM,06-29-2022 11:10 AM,229,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_D2_Shared No Window
The Rise at Northgate,A3,A3,224,A3 Penthouse,The Rise at Northgate - A3 - Penthouse Private Bathroom,,"""The Rise at Northgate - A3 - Penthouse Private Bathroom"", ""224"",",A3 Penthouse,1,Penthouse Private Bathroom,1,1,0,1,1.0000,01-21-2022 05:59 PM,06-29-2022 11:10 AM,243,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_A3_Penthouse Private Bathroom
