Lease ID,Lease Interval ID,Scheduled Charge ID,Charge Code ID,Charge Code,Charge Type,Charge Start Date,Charge End Date,Charge Amount,Charge Frequency,timestamp,owner,xQuery - Related Lease,Related Code,Charge Usage,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
"13,300,756","16,899,074","40,986,931","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,"32,738","148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10668,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,305,228","16,912,134","41,055,595","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$895,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10669,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,305,228","16,912,134","41,055,670","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10670,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,305,228","16,912,134","41,055,671","148,453",Pet Rent,other,08-01-2023,07-31-2024,$35,Monthly,1669105271,gmh,,"148,453",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10671,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,305,368","16,891,258","40,951,712","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10672,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,305,368","16,891,258","40,951,631","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$890,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10673,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,305,581","16,901,377","40,998,047","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,"30,785","148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10674,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,305,581","16,901,377","40,997,974","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$875,Monthly,1669105271,gmh,"30,785","147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10675,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,307,941","16,884,039","40,919,605","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$855,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10676,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,307,941","16,884,039","40,919,606","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10677,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,307,941","16,884,039","40,919,607","148,134",Garage Parking,other,08-01-2023,07-31-2024,$20,Monthly,1669105271,gmh,,"148,134",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10678,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,309,406","16,856,782","40,829,595","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,"$1,025",Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10679,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,309,406","16,856,782","40,829,671","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10680,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
