Description,Document Template - Name,Related Document Template,Table Name,dbid,Sheet,qry,clist,slist,stlist,Is Data Grid?,Date Created,Date Modified,EachRecordasNewTab,grouplist,Last Modified By,Link to table,Max Line items,Max Lines type,Record ID#,Record Owner,Skip Rows,slist Options,Tab sub report order
Sheet 12 - NEW PG1 CHART TEST,Weekly Performance Overview,2,,bq5hz7i58,1,{'14'.EX.'[RK]'} AND {'9'.XEX.''},T2:6.U2-N:56,6,,yes,09-14-2021 12:51 PM,10-04-2021 10:25 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,24,JT Bailey <62477437.bhmt>,,,
Sheet 03 - Weekly Leasing Breakdown,NEW - Weekly Performance Overview,5,Floorplans,bq5hz7i58,3,{'14'.EX.'[RK]'} AND {'9'.XEX.''} AND {'9'.XEX.'0'},"A5:6.
E5:228.
F5:229.
G5-N:201.
I5:230.
J5:231.
L5:232.
M5:9.
N5:76.
P5-N:56",6,A: Total |E.F.I.J.L.M.N|LIGHTBLUE,yes,10-25-2021 09:36 AM,10-06-2022 06:10 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,26,JT Bailey <62477437.bhmt>,,,
Sheet 04 - Floorplan Financial Details,NEW - Weekly Performance Overview,5,Floorplans,bq5hz7i58,4,{'14'.EX.'[RK]'} AND {'9'.XEX.''} AND {'9'.XEX.'0'},"A4:6.
C4:9.
E4:21.
G4:233.
H4:234.
I4:235.
K4:76
",6,A: Total |C.G.I.K|LIGHTBLUE,yes,10-25-2021 09:36 AM,10-06-2022 06:10 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,27,JT Bailey <62477437.bhmt>,,,
Sheet 06 - Floorplan Incentive Details,NEW - Weekly Performance Overview,5,Floorplans,bq5hz7i58,6,{'14'.EX.'[RK]'} AND {'9'.XEX.''} AND {'9'.XEX.'0'},"A4:6.
C4:226.
D4:76.
F4:234.
G4:236.
H4:237.
I4:238.
J4:239.
K4:240.
L4:241",6,A: Total |C.D.G.I|LIGHTBLUE,yes,10-25-2021 09:36 AM,10-06-2022 06:10 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,28,JT Bailey <62477437.bhmt>,,,
Sheet 07 - Floorplan Lease Approval and Aging,NEW - Weekly Performance Overview,5,Floorplans,bq5hz7i58,7,{'14'.EX.'[RK]'} AND {'9'.XEX.''} AND {'9'.XEX.'0'},"A6:6.
E6:168.
F6:171.
G6:170.
H6:169.
J6:172",6,,yes,10-25-2021 09:36 AM,10-06-2022 06:10 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,29,JT Bailey <62477437.bhmt>,,,
Sheet 02 - Floorplan Leasing Details,NEW - Weekly Performance Overview,5,Floorplans,bq5hz7i58,2,{'14'.EX.'[RK]'} AND {'9'.XEX.''} AND {'9'.XEX.'0'},"A10:6.
C10:9.
D10:144.
E10-N:174.
F10:224.
G10-N:211.
H10:225.
I10:226.
J10-N:56.
K10:227.
L10-N:175.
M10-N:176
",6,A: Total |C.D.F.K.H.I|LIGHTBLUE,yes,10-25-2021 09:36 AM,10-06-2022 06:10 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,30,JT Bailey <62477437.bhmt>,,,
Sheet 05 - Floorplan Rate Growth Details,NEW - Weekly Performance Overview,5,,bq5hz7i58,5,{'14'.EX.'[RK]'} AND {'9'.XEX.''} AND AND {'9'.XEX.'0'},"A10:6.
D10:35.
E10:247.
F10-N:215.
H10:66.
I10:244.
J10-N:216",6,,yes,10-25-2021 09:36 AM,10-06-2022 06:10 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,31,JT Bailey <62477437.bhmt>,,,
Sheet 12 - NEW PG1 CHART TEST,,,,bq5hz7i58,1,{'14'.EX.'[RK]'} AND {'9'.XEX.''},T2:6.U2-N:56,6,,yes,10-25-2021 09:36 AM,10-25-2021 12:15 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,32,JT Bailey <62477437.bhmt>,,,
Properties,Dashboard Output,1,,bq5hz7i53,1,{'425'.EX.'[RK]'},"B10:6.C10:414.D10:423.E10-N:119.G10:45.H10:47.I10:25.J10-N:26.L10:175.M10:176.O10-N:44.T10:402.U10:403.V10:401.W10-N:404.AA10:408.AB10:407.AC10:406
",,,yes,06-01-2021 11:49 PM,11-09-2021 02:01 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,2,JT Bailey <62477437.bhmt>,,,
Sheet 11 - Lead Graph Details,Weekly Performance Overview,2,Properties,bq5hz7i53,11,{'3'.EX.'[RK]'},"A2:6.
B2:453.
C2:454.
D2:455.
E2:456.
F2:457.
G2:458",,,yes,07-19-2021 12:53 PM,10-07-2021 01:32 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,3,JT Bailey <62477437.bhmt>,,,
Sheet 2 - Weekly Leasing Breakdown Summary,DUMMY,3,Properties,bq5hz7i53,2,{'3'.EX.'[RK]'},A4:402.G4:403.M4:401.S4-N:404.E6:497.G6:496.I6:495.K6:494.M6:493.O6:492.Q6:491,,,no,07-19-2021 12:53 PM,08-15-2021 11:08 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,6,JT Bailey <62477437.bhmt>,,,
Sheet 3 - Property Info,DUMMY,3,Properties,bq5hz7i53,3,{'3'.EX.'[RK]'},A4-N:73.D4-N:74.G4-N:75.J4:61,,,no,07-19-2021 12:53 PM,08-15-2021 11:08 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,8,JT Bailey <62477437.bhmt>,,,
Sheet 4 - Property Info,DUMMY,3,Properties,bq5hz7i53,4,{'3'.EX.'[RK]'},A4:84.D4:83.G4-N:439.J4-N:440,,,no,07-19-2021 12:53 PM,08-15-2021 11:08 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,10,JT Bailey <62477437.bhmt>,,,
Sheet 06 - Property Lease Approval and Aging,Weekly Performance Overview,2,Properties,bq5hz7i53,6,{'3'.EX.'[RK]'},"L5:447.
N5:448.
L8-N:26.
L11-N:449.
L15:443.
M15:444.
N15:445.
O15:446.
L18:450.
L21:452.
AA4:448.
AA5:564.
AA6:565.
AA7:566.
AA8:567",,,no,07-19-2021 12:53 PM,10-07-2021 10:35 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,12,JT Bailey <62477437.bhmt>,,,
Sheet 07 - Traffic and Application Counts,Weekly Performance Overview,2,Properties,bq5hz7i53,7,{'3'.EX.'[RK]'},B13:461.C13:466.D13:471.G13:476.H13:481.I13:486.B14:464.C14:470.D14:475.G14:480.H14:485.I14:489.B15:463.C15:469.D15:474.G15:479.H15:484.I15:490.B16:462.C16:468.D16:473.G16:478.H16:483.I16:488.B17:465.C17:467.D17:472.G17:477.H17:482.I17:487.B4:497.C4:496.D4:495.E4:494.F4:493.G4:492.H4:491,,,no,07-19-2021 12:53 PM,08-16-2021 01:04 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,13,JT Bailey <62477437.bhmt>,,,
Sheet 8 - Property Info,DUMMY,3,Properties,bq5hz7i53,8,{'3'.EX.'[RK]'},A4-N:26.D4:47.G4:45.J4:25,,,no,07-19-2021 12:53 PM,08-15-2021 11:08 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,15,JT Bailey <62477437.bhmt>,,,
Sheet 04 - Property Rent Growth Details,Weekly Performance Overview,2,,bq5hz7i53,4,{'3'.EX.'[RK]'},"P7:66.
Q7:67.
P8-N:73.
P12:76.
Q12:68.
P13-N:74.
P17:439.
Q17:441.
P18-N:440",,,no,08-16-2021 10:09 AM,10-07-2021 10:03 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,19,JT Bailey <62477437.bhmt>,,,
Sheet 02 - Days of the Week,Weekly Performance Overview,2,,bq5hz7i53,2,{'3'.EX.'[RK]'},"E3:497.
G3:496.
I3:495.
K3:494.
M3:493.
O3:492.
Q3:491",,,no,08-16-2021 10:42 AM,10-07-2021 10:03 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,20,JT Bailey <62477437.bhmt>,,,
Sheet 07 - Daily Traffic Breakdown,Weekly Performance Overview,2,,bq5hz7i53,7,{'3'.EX.'[RK]'},"B4:497.C4:496.D4:495.E4:494.G4:493.H4:492.I4:491.B5:529.C5:524.D5:519.E5:514.	G5:509.H5:504.I5:499.B6:530.C6:525.D6:520.E6:515.G6:510.H6:505.I6:503.B7:531.C7:526.D7:521.E7:516.G7:511.H7:506.I7:502.B8:532.C8:527.D8:522.E8:517.G8:512.H8:507.I8:501.B9:533.C9:528.D9:523.E9:518.G9:513.H9:508.I9:500
",,,no,08-16-2021 12:37 PM,08-16-2021 01:04 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,21,JT Bailey <62477437.bhmt>,,,
