Portfolio Name,Portfolio Type,Portfolio Beds,"# of Signed Renewals, Current Term","# of Signed New Leases, Current Term","# of Signed Leases, Current Term",Portfolio Pre-Lease Current Term,"# of Renewals, Last Term - YTD","# of New Leases, Last Term - YTD","# of Signed Leases, Last Term - YTD",Portfolio Pre-Lease Prior Term,Portfolio Pre-Lease vs Prior Term,Current Term - Portfolio Goals,Portfolio Goal Pre-Lease,Portfolio Pre-Lease vs Goal,Formatted Output - Report Name,"# of Leases Signed, Previous 7 Days","# of New Leases Signed, Previous 7 Days","# of Renewals Signed, Previous 7 Days",Weekly PreLease Gain,Weekly Leases Needed to Achieve 90% at Week 52,Weekly Leases Needed to Achieve 95% at Week 52,Weekly Leases Needed to Achieve 100% at Week 52,"# of Model Bed Leases, Current Term",Total Occupied Beds,Current Occupancy,Sort Order,Add Portfolio Assignment,Date Created,Date Modified,Last Modified By,Link ID#,Link Owner,Percentage of Billings Paid,Portfolio assignments,Portfolio Pre-Lease vs Goal (num),Portfolio Pre-Lease vs Prior Term (num),Related Formatted Output,Total Billings Collected,Total Scheduled Billings,Create XL Sheet (stream back),Create XL Sheet,Generate Roll Up,XL Document,XL Doc Date,Leases Signed vs Prior Term,Beds Remaining,Date,Current Week Number,Leasing Season Week Ending Date,Leasing Season Ending Week Number,Weeks Remaining,# of Properties
CRG,Equity Partner,773,245,419,664,85.899094437257%,0,495,495,64.036222509702%,"<div style=""background-color:lightgreen;""> 21.9% </div>",773,100%,"<div style=""background-color:lightcoral;"">-14.1%</div>",,0,0,0,0%,0,0,0,6,557,72.056921086675%,,https://gmh.quickbase.com/db/bq5hz7i5z?a=API_GenAddRecordForm&_fid_8=7&z=9mc,01-20-2023 02:53 PM,02-20-2024 11:34 AM,JT Bailey <62477437.bhmt>,7,JT Bailey <62477437.bhmt>,,7,-14.100905562743%,21.862871927555%,,$0,$0,"<a class='Vibrant Success OpenAsPopup' data-height=1000 data-width=1000 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=7&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken="" >Create XL Sheet (stream back)</a>","<a class='Vibrant Success OpenAsPopup' data-height=350 data-width=500 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_LP.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=7&faid=44&xlddte=45&docfmt=xlsx&apptoken="" >Create XL Sheet</a>",https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=CRG - Roll Up - 09-04-2024&dbid=bq5hz7i5x&msid=7&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken=,CRG - Roll Up - 02-20-2024_7.xlsx,02-20-2024 11:34 AM,169,109,09-04-2024,53,08-01-2024,48,-5,1
Medistar,Owner,0,0,0,0,,143,289,432,,"<div style=""background-color:lightgreen;""> % </div>",714,,"<div style=""background-color:lightgreen;""> % </div>",,0,0,0,,0,0,0,0,0,,,https://gmh.quickbase.com/db/bq5hz7i5z?a=API_GenAddRecordForm&_fid_8=8&z=9mc,03-15-2023 01:38 PM,02-01-2024 04:07 PM,JT Bailey <62477437.bhmt>,8,JT Bailey <62477437.bhmt>,,8,,,,$0,$0,"<a class='Vibrant Success OpenAsPopup' data-height=1000 data-width=1000 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=8&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken="" >Create XL Sheet (stream back)</a>","<a class='Vibrant Success OpenAsPopup' data-height=350 data-width=500 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_LP.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=8&faid=44&xlddte=45&docfmt=xlsx&apptoken="" >Create XL Sheet</a>",https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=Medistar - Roll Up - 09-04-2024&dbid=bq5hz7i5x&msid=8&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken=,Medistar - Roll Up - 02-01-2024_8.xlsx,02-01-2024 04:07 PM,-432,0,09-04-2024,53,08-01-2024,48,-5,1
All GMH Properties,Property Type,6882,2970,4132,7102,103.19674513223%,2067,4312,6379,92.69107817495%,"<div style=""background-color:lightgreen;""> 10.5% </div>",7110,103.31299040976%,"<div style=""background-color:lightcoral;"">-0.1%</div>",Dashboard Output ,0,0,0,0%,958,686,471,39,6404,93.054344667248%,1,https://gmh.quickbase.com/db/bq5hz7i5z?a=API_GenAddRecordForm&_fid_8=1&z=9mc,12-06-2020 10:38 PM,06-05-2024 02:09 PM,JT Bailey <62477437.bhmt>,1,Bailey Tech Group QB <61083822.deca>,98.488350309556%,1,-0.1162452775356%,10.50566695728%,1,"$3,494,868.28","$3,548,509.31","<a class='Vibrant Success OpenAsPopup' data-height=1000 data-width=1000 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=1&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken="" >Create XL Sheet (stream back)</a>","<a class='Vibrant Success OpenAsPopup' data-height=350 data-width=500 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_LP.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=1&faid=44&xlddte=45&docfmt=xlsx&apptoken="" >Create XL Sheet</a>",https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=All GMH Properties - Roll Up - 09-04-2024&dbid=bq5hz7i5x&msid=1&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken=,All GMH Properties - Roll Up - 06-05-2024_1.xlsx,06-05-2024 02:09 PM,723,-220,09-04-2024,53,08-01-2024,48,-5,19
AGC,Equity Partner,2194,974,1424,2398,109.29808568824%,732,1616,2348,107.0191431176%,"<div style=""background-color:lightgreen;""> 2.3% </div>",2421,110.34639927074%,"<div style=""background-color:lightcoral;"">-1%</div>",Dashboard Output ,0,0,0,0%,441,357,272,12,2061,93.938012762078%,2,https://gmh.quickbase.com/db/bq5hz7i5z?a=API_GenAddRecordForm&_fid_8=3&z=9mc,01-29-2021 02:00 PM,07-01-2024 09:27 AM,JT Bailey <62477437.bhmt>,3,JT Bailey <62477437.bhmt>,97.659086841526%,3,-1.0483135824977%,2.2789425706472%,1,"$1,379,493.91","$1,412,560.73","<a class='Vibrant Success OpenAsPopup' data-height=1000 data-width=1000 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=3&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken="" >Create XL Sheet (stream back)</a>","<a class='Vibrant Success OpenAsPopup' data-height=350 data-width=500 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_LP.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=3&faid=44&xlddte=45&docfmt=xlsx&apptoken="" >Create XL Sheet</a>",https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=AGC - Roll Up - 09-04-2024&dbid=bq5hz7i5x&msid=3&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken=,AGC - Roll Up - 07-01-2024_3.xlsx,07-01-2024 09:27 AM,50,-204,09-04-2024,53,08-01-2024,48,-5,10
Principal,Equity Partner,1807,770,1098,1868,103.37576092972%,663,1120,1783,98.671831765357%,"<div style=""background-color:lightgreen;""> 4.7% </div>",1828,101.16214720531%,"<div style=""background-color:lightgreen;""> 2.2% </div>",Dashboard Output ,0,0,0,0%,242,151,62,11,1824,100.94078583287%,3,https://gmh.quickbase.com/db/bq5hz7i5z?a=API_GenAddRecordForm&_fid_8=5&z=9mc,01-29-2021 02:03 PM,06-24-2024 03:50 PM,JT Bailey <62477437.bhmt>,5,JT Bailey <62477437.bhmt>,99.461059498139%,5,2.213613724405%,4.7039291643608%,1,"$1,482,626.14","$1,490,659.91","<a class='Vibrant Success OpenAsPopup' data-height=1000 data-width=1000 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=5&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken="" >Create XL Sheet (stream back)</a>","<a class='Vibrant Success OpenAsPopup' data-height=350 data-width=500 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_LP.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=5&faid=44&xlddte=45&docfmt=xlsx&apptoken="" >Create XL Sheet</a>",https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=Principal - Roll Up - 09-04-2024&dbid=bq5hz7i5x&msid=5&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken=,Principal - Roll Up - 06-24-2024_5.xlsx,06-24-2024 03:50 PM,85,-61,09-04-2024,53,08-01-2024,48,-5,4
CBRE,Equity Partner,1374,628,851,1479,107.64192139738%,529,792,1321,96.142649199418%,"<div style=""background-color:lightgreen;""> 11.5% </div>",1374,100%,"<div style=""background-color:lightgreen;""> 7.6% </div>",Dashboard Output ,0,0,0,0%,243,178,137,10,1309,95.269286754003%,4,https://gmh.quickbase.com/db/bq5hz7i5z?a=API_GenAddRecordForm&_fid_8=6&z=9mc,01-29-2021 02:03 PM,02-14-2024 08:47 AM,JT Bailey <62477437.bhmt>,6,JT Bailey <62477437.bhmt>,98.05661549892%,6,7.64192139738%,11.499272197962%,1,"$632,748.23","$645,288.67","<a class='Vibrant Success OpenAsPopup' data-height=1000 data-width=1000 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=6&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken="" >Create XL Sheet (stream back)</a>","<a class='Vibrant Success OpenAsPopup' data-height=350 data-width=500 data-refresh=true href=""https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_LP.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=XL Document&dbid=bq5hz7i5x&msid=6&faid=44&xlddte=45&docfmt=xlsx&apptoken="" >Create XL Sheet</a>",https://www.aws-juiced-client2.com/Juiced/XLDocs4/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=6&fn=CBRE - Roll Up - 09-04-2024&dbid=bq5hz7i5x&msid=6&faid=44&xlddte=45&docfmt=xlsx&stream=y&apptoken=,CBRE - Roll Up - 02-14-2024_6.xlsx,02-14-2024 08:47 AM,158,-105,09-04-2024,53,08-01-2024,48,-5,2
