Record ID#,Refresh key: property,Floorplan Name,Refresh key: floorplan_name,Related Floorplan,rentable_unit_count,Floorplan - Total Beds,xAudit - Bed Variance,occupied_count,"Floorplan - # of Signed Leases, Current Term",preleased_count,xAudit - Lease Variance,approved_count,completed_count,Date Created,Date Modified,excluded_unit_count,Floorplan - Property Name,Floorplan - Rentable Beds,Floorplan - Unit Type,Last Modified By,preleased_new_count,preleased_renewal_count,Property - Floorplan,property_id,Record Owner,Refresh key,units,xProperty Name,xUnit Type,xSigned Leases
886,The Rise at Northgate,D1,D1,231,252,252,0,135,182,0,182,241,7,07-12-2022 12:41 PM,07-21-2024 02:15 AM,0,The Rise at Northgate,252,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Rise at Northgate_D1,252,The Rise at Northgate,,0
887,The Rise at Northgate,D2,D2,233,4,4,0,2,4,0,4,4,0,07-12-2022 12:41 PM,07-21-2024 02:15 AM,0,The Rise at Northgate,4,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Rise at Northgate_D2,4,The Rise at Northgate,,0
889,The Rise at Northgate,E1 Penthouse,E1,236,15,15,0,7,16,0,16,15,0,07-12-2022 12:41 PM,07-21-2024 02:15 AM,0,The Rise at Northgate,15,5 x 5,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Rise at Northgate_E1,15,The Rise at Northgate,,0
891,The Rise at Northgate,E3 Penthouse,E3,238,5,5,0,4,5,0,5,5,0,07-12-2022 12:41 PM,07-21-2024 02:15 AM,0,The Rise at Northgate,5,5 x 5,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Rise at Northgate_E3,5,The Rise at Northgate,,0
892,The Rise at Northgate,F1 Penthouse,F1,239,6,6,0,1,6,0,6,6,0,07-12-2022 12:41 PM,07-21-2024 02:15 AM,0,The Rise at Northgate,6,6 x 6,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Rise at Northgate_F1,6,The Rise at Northgate,,0
894,The Rise at Northgate,S1,S1,218,21,21,0,12,16,0,16,21,0,07-12-2022 12:41 PM,07-21-2024 02:15 AM,0,The Rise at Northgate,21,0 x 1,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Rise at Northgate_S1,21,The Rise at Northgate,,0
919,Torre,D1,D1,306,28,28,0,27,24,0,24,21,1,07-12-2022 12:41 PM,07-21-2024 02:15 AM,0,Torre,28,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Torre_D1,28,Torre,,0
1018,Venue at North Campus,D3,D3,408,192,192,0,175,162,0,162,131,5,11-14-2023 01:15 AM,07-21-2024 02:15 AM,0,The Venue at North Campus,192,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Venue at North Campus_D3,192,Venue at North Campus,,0
1019,Venue at North Campus,E,E,409,120,120,0,111,133,0,133,121,1,11-14-2023 01:15 AM,07-21-2024 02:15 AM,0,The Venue at North Campus,120,5 x 5,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Venue at North Campus_E,120,Venue at North Campus,,0
1035,The Caswell at Runnymeade,,B2,,38,,38,21,,0,0,23,0,02-03-2024 01:16 AM,07-21-2024 02:15 AM,0,,,,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Caswell at Runnymeade_B2,38,The Caswell at Runnymeade,,0
