property_id,property_name,property,unit_type,unit_type_subtotal,avg_sqft,avg_advertised_rate,units,excluded_unit_count,rentable_unit_count,avg_scheduled_rent,occupied_count,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent,variance,available_count,scheduled_rent_total,number_of_bedrooms,number_of_bathrooms
739084,908 S. 1st,908 S. 1st,M1 Murphy,M1 Murphy,319,1120,12,0,12,1215,11,0,1,0,0,0,1,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,12,0,0,7,1,5,0,12,1,1,0.08333333333333333,-0.9166666666666666,11,1215,NA,NA
739084,908 S. 1st,908 S. 1st,M1 Murphy Balcony,M1 Murphy Balcony,333.5625,1175,16,0,16,1135,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,0,5,1,16,1,0.0625,12,0,5,1,17,1,1.0625,0.0625,-1,15,1135,NA,NA
739084,908 S. 1st,908 S. 1st,M2 Murphy,M2 Murphy,349,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,4,0,1,0,-1,4,0,NA,NA
641240,Academy 65,Academy 65,A1,A1,463,0,10,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,10,0,0,4,0,6,0,10,0,1,0,-1,10,0,1,1
641240,Academy 65,Academy 65,B1,B1,284.7142857142857,0,21,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,0,21,0,0,13,0,8,0,21,0,1,0,-1,21,0,2,2
641240,Academy 65,Academy 65,B1 Semi-Shared,B1 Semi-Shared,249,0,21,0,21,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,21,0,0,16,0,5,0,21,0,1,0,-1,21,0,2,2
641240,Academy 65,Academy 65,C1 Study,C1 Study,389,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,1,0,-1,3,0,3,2.5
641240,Academy 65,Academy 65,D1 Balcony,D1 Balcony,276,0,40,0,40,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,7,0,39,0,0,32,0,7,0,39,0,0.975,0,-0.975,40,0,4,2
641240,Academy 65,Academy 65,D2,D2,293.5,0,64,0,64,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,39,0,28,0,67,0,0,40,0,28,0,68,0,1.0625,0,-1.0625,64,0,4,4
641240,Academy 65,Academy 65,D3,D3,243,0,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,20,0,0,9,0,11,0,20,0,1,0,-1,20,0,4,4
641240,Academy 65,Academy 65,D3 Semi-Shared,D3 Semi-Shared,242.58333333333334,0,120,0,120,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,56,0,121,0,0,65,0,56,0,121,0,1.0083333333333333,0,-1.0083333333333333,120,0,4,4
641240,Academy 65,Academy 65,Not Selected,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
641240,Academy 65,Academy 65,S1,S1,396,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,0,0,3,0,2,0,5,0,1,0,-1,5,0,NA,1
641240,Academy 65,Academy 65,S2,S2,416,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,0,0,3,0,2,0,5,0,1,0,-1,5,0,NA,1
676055,Academy Lincoln,Academy Lincoln,B1,B1,334,0,30,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,14,0,30,0,0,16,0,14,0,30,0,1,0,-1,30,0,2,2
676055,Academy Lincoln,Academy Lincoln,B2,B2,399.7368421052632,0,38,0,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,16,0,38,0,0,22,0,16,0,38,0,1,0,-1,38,0,2,2
676055,Academy Lincoln,Academy Lincoln,B3 Townhome,B3 Townhome,616,0,14,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,14,0,0,5,0,9,0,14,0,1,0,-1,14,0,2,2
676055,Academy Lincoln,Academy Lincoln,C1,C1,342.42857142857144,0,42,0,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,7,0,42,0,0,35,0,7,0,42,0,1,0,-1,42,0,3,3
676055,Academy Lincoln,Academy Lincoln,D1,D1,303.9406779661017,0,472,0,472,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,180,0,470,0,0,290,0,180,0,470,0,0.9957627118644068,0,-0.9957627118644068,472,0,4,4
676055,Academy Lincoln,Academy Lincoln,D2,D2,337,0,36,0,36,0,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,13,0,37,0,0,25,0,13,0,38,0,1.0555555555555556,0,-1.0555555555555556,36,0,4,4
676055,Academy Lincoln,Academy Lincoln,Not Selected,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
518044,Shortbread Lofts,Shortbread Lofts,B1,B1,319.325,0,40,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,8,0,40,0,0,32,0,8,0,40,0,1,0,-1,40,0,2,2
518044,Shortbread Lofts,Shortbread Lofts,B2,B2,453.6,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,10,0,0,9,0,1,0,10,0,1,0,-1,10,0,2,2
518044,Shortbread Lofts,Shortbread Lofts,B3,B3,499,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,1,0,-1,2,0,2,2
